,#,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
168,"


0127",Pinsir Mega Pinsir,Bug Flying,600,65,155,120,65,90,105
169,"


0128",Tauros,Normal ,490,75,100,95,40,70,110
170,"


0128",Tauros Combat Breed,Fighting ,490,75,110,105,30,70,100
171,"


0128",Tauros Blaze Breed,Fighting Fire,490,75,110,105,30,70,100
172,"


0128",Tauros Aqua Breed,Fighting Water,490,75,110,105,30,70,100
173,"


0129",Magikarp,Water ,200,20,10,55,15,20,80
174,"


0130",Gyarados,Water Flying,540,95,125,79,60,100,81
175,"


0130",Gyarados Mega Gyarados,Water Dark,640,95,155,109,70,130,81
176,"


0131",Lapras,Water Ice,535,130,85,80,85,95,60
177,"


0132",Ditto,Normal ,288,48,48,48,48,48,48
178,"


0133",Eevee,Normal ,325,55,55,50,45,65,55
179,"


0133",Eevee Partner Eevee,Normal ,435,65,75,70,65,85,75
180,"


0134",Vaporeon,Water ,525,130,65,60,110,95,65
181,"


0135",Jolteon,Electric ,525,65,65,60,110,95,130
182,"


0136",Flareon,Fire ,525,65,130,60,95,110,65
183,"


0137",Porygon,Normal ,395,65,60,70,85,75,40
184,"


0138",Omanyte,Rock Water,355,35,40,100,90,55,35
185,"


0139",Omastar,Rock Water,495,70,60,125,115,70,55
186,"


0140",Kabuto,Rock Water,355,30,80,90,55,45,55
187,"


0141",Kabutops,Rock Water,495,60,115,105,65,70,80
188,"


0142",Aerodactyl,Rock Flying,515,80,105,65,60,75,130
189,"


0142",Aerodactyl Mega Aerodactyl,Rock Flying,615,80,135,85,70,95,150
190,"


0143",Snorlax,Normal ,540,160,110,65,65,110,30
191,"


0144",Articuno,Ice Flying,580,90,85,100,95,125,85
192,"


0144",Articuno Galarian Articuno,Psychic Flying,580,90,85,85,125,100,95
193,"


0145",Zapdos,Electric Flying,580,90,90,85,125,90,100
194,"


0145",Zapdos Galarian Zapdos,Fighting Flying,580,90,125,90,85,90,100
195,"


0146",Moltres,Fire Flying,580,90,100,90,125,85,90
196,"


0146",Moltres Galarian Moltres,Dark Flying,580,90,85,90,100,125,90
197,"


0147",Dratini,Dragon ,300,41,64,45,50,50,50
198,"


0148",Dragonair,Dragon ,420,61,84,65,70,70,70
199,"


0149",Dragonite,Dragon Flying,600,91,134,95,100,100,80
200,"


0150",Mewtwo,Psychic ,680,106,110,90,154,90,130
201,"


0150",Mewtwo Mega Mewtwo X,Psychic Fighting,780,106,190,100,154,100,130
202,"


0150",Mewtwo Mega Mewtwo Y,Psychic ,780,106,150,70,194,120,140
203,"


0151",Mew,Psychic ,600,100,100,100,100,100,100
204,"


0152",Chikorita,Grass ,318,45,49,65,49,65,45
205,"


0153",Bayleef,Grass ,405,60,62,80,63,80,60
206,"


0154",Meganium,Grass ,525,80,82,100,83,100,80
207,"


0155",Cyndaquil,Fire ,309,39,52,43,60,50,65
208,"


0156",Quilava,Fire ,405,58,64,58,80,65,80
209,"


0157",Typhlosion,Fire ,534,78,84,78,109,85,100
210,"


0157",Typhlosion Hisuian Typhlosion,Fire Ghost,534,73,84,78,119,85,95
211,"


0158",Totodile,Water ,314,50,65,64,44,48,43
212,"


0159",Croconaw,Water ,405,65,80,80,59,63,58
213,"


0160",Feraligatr,Water ,530,85,105,100,79,83,78
214,"


0161",Sentret,Normal ,215,35,46,34,35,45,20
215,"


0162",Furret,Normal ,415,85,76,64,45,55,90
216,"


0163",Hoothoot,Normal Flying,262,60,30,30,36,56,50
217,"


0164",Noctowl,Normal Flying,452,100,50,50,86,96,70
218,"


0165",Ledyba,Bug Flying,265,40,20,30,40,80,55
219,"


0166",Ledian,Bug Flying,390,55,35,50,55,110,85
220,"


0167",Spinarak,Bug Poison,250,40,60,40,40,40,30
221,"


0168",Ariados,Bug Poison,400,70,90,70,60,70,40
222,"


0169",Crobat,Poison Flying,535,85,90,80,70,80,130
223,"


0170",Chinchou,Water Electric,330,75,38,38,56,56,67
224,"


0171",Lanturn,Water Electric,460,125,58,58,76,76,67
225,"


0172",Pichu,Electric ,205,20,40,15,35,35,60
226,"


0173",Cleffa,Fairy ,218,50,25,28,45,55,15
227,"


0174",Igglybuff,Normal Fairy,210,90,30,15,40,20,15
228,"


0175",Togepi,Fairy ,245,35,20,65,40,65,20
229,"


0176",Togetic,Fairy Flying,405,55,40,85,80,105,40
230,"


0177",Natu,Psychic Flying,320,40,50,45,70,45,70
231,"


0178",Xatu,Psychic Flying,470,65,75,70,95,70,95
232,"


0179",Mareep,Electric ,280,55,40,40,65,45,35
233,"


0180",Flaaffy,Electric ,365,70,55,55,80,60,45
234,"


0181",Ampharos,Electric ,510,90,75,85,115,90,55
235,"


0181",Ampharos Mega Ampharos,Electric Dragon,610,90,95,105,165,110,45
236,"


0182",Bellossom,Grass ,490,75,80,95,90,100,50
237,"


0183",Marill,Water Fairy,250,70,20,50,20,50,40
238,"


0184",Azumarill,Water Fairy,420,100,50,80,60,80,50
239,"


0185",Sudowoodo,Rock ,410,70,100,115,30,65,30
240,"


0186",Politoed,Water ,500,90,75,75,90,100,70
241,"


0187",Hoppip,Grass Flying,250,35,35,40,35,55,50
242,"


0188",Skiploom,Grass Flying,340,55,45,50,45,65,80
243,"


0189",Jumpluff,Grass Flying,460,75,55,70,55,95,110
244,"


0190",Aipom,Normal ,360,55,70,55,40,55,85
245,"


0191",Sunkern,Grass ,180,30,30,30,30,30,30
246,"


0192",Sunflora,Grass ,425,75,75,55,105,85,30
247,"


0193",Yanma,Bug Flying,390,65,65,45,75,45,95
248,"


0194",Wooper,Water Ground,210,55,45,45,25,25,15
249,"


0194",Wooper Paldean Wooper,Poison Ground,210,55,45,45,25,25,15
250,"


0195",Quagsire,Water Ground,430,95,85,85,65,65,35
251,"


0196",Espeon,Psychic ,525,65,65,60,130,95,110
252,"


0197",Umbreon,Dark ,525,95,65,110,60,130,65
253,"


0198",Murkrow,Dark Flying,405,60,85,42,85,42,91
254,"


0199",Slowking,Water Psychic,490,95,75,80,100,110,30
255,"


0199",Slowking Galarian Slowking,Poison Psychic,490,95,65,80,110,110,30
256,"


0200",Misdreavus,Ghost ,435,60,60,60,85,85,85
257,"


0201",Unown,Psychic ,336,48,72,48,72,48,48
258,"


0202",Wobbuffet,Psychic ,405,190,33,58,33,58,33
259,"


0203",Girafarig,Normal Psychic,455,70,80,65,90,65,85
260,"


0204",Pineco,Bug ,290,50,65,90,35,35,15
261,"


0205",Forretress,Bug Steel,465,75,90,140,60,60,40
262,"


0206",Dunsparce,Normal ,415,100,70,70,65,65,45
263,"


0207",Gligar,Ground Flying,430,65,75,105,35,65,85
264,"


0208",Steelix,Steel Ground,510,75,85,200,55,65,30
265,"


0208",Steelix Mega Steelix,Steel Ground,610,75,125,230,55,95,30
266,"


0209",Snubbull,Fairy ,300,60,80,50,40,40,30
267,"


0210",Granbull,Fairy ,450,90,120,75,60,60,45
268,"


0211",Qwilfish,Water Poison,440,65,95,85,55,55,85
269,"


0211",Qwilfish Hisuian Qwilfish,Dark Poison,440,65,95,85,55,55,85
270,"


0212",Scizor,Bug Steel,500,70,130,100,55,80,65
271,"


0212",Scizor Mega Scizor,Bug Steel,600,70,150,140,65,100,75
272,"


0213",Shuckle,Bug Rock,505,20,10,230,10,230,5
273,"


0214",Heracross,Bug Fighting,500,80,125,75,40,95,85
274,"


0214",Heracross Mega Heracross,Bug Fighting,600,80,185,115,40,105,75
275,"


0215",Sneasel,Dark Ice,430,55,95,55,35,75,115
276,"


0215",Sneasel Hisuian Sneasel,Fighting Poison,430,55,95,55,35,75,115
277,"


0216",Teddiursa,Normal ,330,60,80,50,50,50,40
278,"


0217",Ursaring,Normal ,500,90,130,75,75,75,55
279,"


0218",Slugma,Fire ,250,40,40,40,70,40,20
280,"


0219",Magcargo,Fire Rock,430,60,50,120,90,80,30
281,"


0220",Swinub,Ice Ground,250,50,50,40,30,30,50
282,"


0221",Piloswine,Ice Ground,450,100,100,80,60,60,50
283,"


0222",Corsola,Water Rock,410,65,55,95,65,95,35
284,"


0222",Corsola Galarian Corsola,Ghost ,410,60,55,100,65,100,30
285,"


0223",Remoraid,Water ,300,35,65,35,65,35,65
286,"


0224",Octillery,Water ,480,75,105,75,105,75,45
287,"


0225",Delibird,Ice Flying,330,45,55,45,65,45,75
288,"


0226",Mantine,Water Flying,485,85,40,70,80,140,70
289,"


0227",Skarmory,Steel Flying,465,65,80,140,40,70,70
290,"


0228",Houndour,Dark Fire,330,45,60,30,80,50,65
291,"


0229",Houndoom,Dark Fire,500,75,90,50,110,80,95
292,"


0229",Houndoom Mega Houndoom,Dark Fire,600,75,90,90,140,90,115
293,"


0230",Kingdra,Water Dragon,540,75,95,95,95,95,85
294,"


0231",Phanpy,Ground ,330,90,60,60,40,40,40
295,"


0232",Donphan,Ground ,500,90,120,120,60,60,50
296,"


0233",Porygon2,Normal ,515,85,80,90,105,95,60
297,"


0234",Stantler,Normal ,465,73,95,62,85,65,85
298,"


0235",Smeargle,Normal ,250,55,20,35,20,45,75
299,"


0236",Tyrogue,Fighting ,210,35,35,35,35,35,35
300,"


0237",Hitmontop,Fighting ,455,50,95,95,35,110,70
301,"


0238",Smoochum,Ice Psychic,305,45,30,15,85,65,65
302,"


0239",Elekid,Electric ,360,45,63,37,65,55,95
303,"


0240",Magby,Fire ,365,45,75,37,70,55,83
304,"


0241",Miltank,Normal ,490,95,80,105,40,70,100
305,"


0242",Blissey,Normal ,540,255,10,10,75,135,55
306,"


0243",Raikou,Electric ,580,90,85,75,115,100,115
307,"


0244",Entei,Fire ,580,115,115,85,90,75,100
308,"


0245",Suicune,Water ,580,100,75,115,90,115,85
309,"


0246",Larvitar,Rock Ground,300,50,64,50,45,50,41
310,"


0247",Pupitar,Rock Ground,410,70,84,70,65,70,51
311,"


0248",Tyranitar,Rock Dark,600,100,134,110,95,100,61
312,"


0248",Tyranitar Mega Tyranitar,Rock Dark,700,100,164,150,95,120,71
313,"


0249",Lugia,Psychic Flying,680,106,90,130,90,154,110
314,"


0250",Ho-oh,Fire Flying,680,106,130,90,110,154,90
315,"


0251",Celebi,Psychic Grass,600,100,100,100,100,100,100
316,"


0252",Treecko,Grass ,310,40,45,35,65,55,70
317,"


0253",Grovyle,Grass ,405,50,65,45,85,65,95
318,"


0254",Sceptile,Grass ,530,70,85,65,105,85,120
319,"


0254",Sceptile Mega Sceptile,Grass Dragon,630,70,110,75,145,85,145
320,"


0255",Torchic,Fire ,310,45,60,40,70,50,45
321,"


0256",Combusken,Fire Fighting,405,60,85,60,85,60,55
322,"


0257",Blaziken,Fire Fighting,530,80,120,70,110,70,80
323,"


0257",Blaziken Mega Blaziken,Fire Fighting,630,80,160,80,130,80,100
324,"


0258",Mudkip,Water ,310,50,70,50,50,50,40
325,"


0259",Marshtomp,Water Ground,405,70,85,70,60,70,50
326,"


0260",Swampert,Water Ground,535,100,110,90,85,90,60
327,"


0260",Swampert Mega Swampert,Water Ground,635,100,150,110,95,110,70
328,"


0261",Poochyena,Dark ,220,35,55,35,30,30,35
329,"


0262",Mightyena,Dark ,420,70,90,70,60,60,70
330,"


0263",Zigzagoon,Normal ,240,38,30,41,30,41,60
331,"


0263",Zigzagoon Galarian Zigzagoon,Dark Normal,240,38,30,41,30,41,60
332,"


0264",Linoone,Normal ,420,78,70,61,50,61,100
333,"


0264",Linoone Galarian Linoone,Dark Normal,420,78,70,61,50,61,100
334,"


0265",Wurmple,Bug ,195,45,45,35,20,30,20
335,"


0266",Silcoon,Bug ,205,50,35,55,25,25,15
336,"


0267",Beautifly,Bug Flying,395,60,70,50,100,50,65
337,"


0268",Cascoon,Bug ,205,50,35,55,25,25,15
338,"


0269",Dustox,Bug Poison,385,60,50,70,50,90,65
339,"


0270",Lotad,Water Grass,220,40,30,30,40,50,30
340,"


0271",Lombre,Water Grass,340,60,50,50,60,70,50
341,"


0272",Ludicolo,Water Grass,480,80,70,70,90,100,70
342,"


0273",Seedot,Grass ,220,40,40,50,30,30,30
343,"


0274",Nuzleaf,Grass Dark,340,70,70,40,60,40,60
344,"


0275",Shiftry,Grass Dark,480,90,100,60,90,60,80
345,"


0276",Taillow,Normal Flying,270,40,55,30,30,30,85
346,"


0277",Swellow,Normal Flying,455,60,85,60,75,50,125
347,"


0278",Wingull,Water Flying,270,40,30,30,55,30,85
348,"


0279",Pelipper,Water Flying,440,60,50,100,95,70,65
349,"


0280",Ralts,Psychic Fairy,198,28,25,25,45,35,40
350,"


0281",Kirlia,Psychic Fairy,278,38,35,35,65,55,50
351,"


0282",Gardevoir,Psychic Fairy,518,68,65,65,125,115,80
352,"


0282",Gardevoir Mega Gardevoir,Psychic Fairy,618,68,85,65,165,135,100
353,"


0283",Surskit,Bug Water,269,40,30,32,50,52,65
354,"


0284",Masquerain,Bug Flying,454,70,60,62,100,82,80
355,"


0285",Shroomish,Grass ,295,60,40,60,40,60,35
356,"


0286",Breloom,Grass Fighting,460,60,130,80,60,60,70
357,"


0287",Slakoth,Normal ,280,60,60,60,35,35,30
358,"


0288",Vigoroth,Normal ,440,80,80,80,55,55,90
359,"


0289",Slaking,Normal ,670,150,160,100,95,65,100
360,"


0290",Nincada,Bug Ground,266,31,45,90,30,30,40
361,"


0291",Ninjask,Bug Flying,456,61,90,45,50,50,160
362,"


0292",Shedinja,Bug Ghost,236,1,90,45,30,30,40
363,"


0293",Whismur,Normal ,240,64,51,23,51,23,28
364,"


0294",Loudred,Normal ,360,84,71,43,71,43,48
365,"


0295",Exploud,Normal ,490,104,91,63,91,73,68
366,"


0296",Makuhita,Fighting ,237,72,60,30,20,30,25
367,"


0297",Hariyama,Fighting ,474,144,120,60,40,60,50
368,"


0298",Azurill,Normal Fairy,190,50,20,40,20,40,20
369,"


0299",Nosepass,Rock ,375,30,45,135,45,90,30
370,"


0300",Skitty,Normal ,260,50,45,45,35,35,50
371,"


0301",Delcatty,Normal ,400,70,65,65,55,55,90
372,"


0302",Sableye,Dark Ghost,380,50,75,75,65,65,50
373,"


0302",Sableye Mega Sableye,Dark Ghost,480,50,85,125,85,115,20
374,"


0303",Mawile,Steel Fairy,380,50,85,85,55,55,50
375,"


0303",Mawile Mega Mawile,Steel Fairy,480,50,105,125,55,95,50
376,"


0304",Aron,Steel Rock,330,50,70,100,40,40,30
377,"


0305",Lairon,Steel Rock,430,60,90,140,50,50,40
378,"


0306",Aggron,Steel Rock,530,70,110,180,60,60,50
379,"


0306",Aggron Mega Aggron,Steel ,630,70,140,230,60,80,50
380,"


0307",Meditite,Fighting Psychic,280,30,40,55,40,55,60
381,"


0308",Medicham,Fighting Psychic,410,60,60,75,60,75,80
382,"


0308",Medicham Mega Medicham,Fighting Psychic,510,60,100,85,80,85,100
383,"


0309",Electrike,Electric ,295,40,45,40,65,40,65
384,"


0310",Manectric,Electric ,475,70,75,60,105,60,105
385,"


0310",Manectric Mega Manectric,Electric ,575,70,75,80,135,80,135
386,"


0311",Plusle,Electric ,405,60,50,40,85,75,95
387,"


0312",Minun,Electric ,405,60,40,50,75,85,95
388,"


0313",Volbeat,Bug ,430,65,73,75,47,85,85
389,"


0314",Illumise,Bug ,430,65,47,75,73,85,85
390,"


0315",Roselia,Grass Poison,400,50,60,45,100,80,65
391,"


0316",Gulpin,Poison ,302,70,43,53,43,53,40
392,"


0317",Swalot,Poison ,467,100,73,83,73,83,55
393,"


0318",Carvanha,Water Dark,305,45,90,20,65,20,65
394,"


0319",Sharpedo,Water Dark,460,70,120,40,95,40,95
395,"


0319",Sharpedo Mega Sharpedo,Water Dark,560,70,140,70,110,65,105
396,"


0320",Wailmer,Water ,400,130,70,35,70,35,60
397,"


0321",Wailord,Water ,500,170,90,45,90,45,60
398,"


0322",Numel,Fire Ground,305,60,60,40,65,45,35
399,"


0323",Camerupt,Fire Ground,460,70,100,70,105,75,40
400,"


0323",Camerupt Mega Camerupt,Fire Ground,560,70,120,100,145,105,20
401,"


0324",Torkoal,Fire ,470,70,85,140,85,70,20
402,"


0325",Spoink,Psychic ,330,60,25,35,70,80,60
